FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13930775,13930775,POINT (16.35911181224973 48.180432369351585),Matzleinsdorfer Platz (Unterführung),Matzleinsdorfer Platz (Unterführung),14A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930776,13930776,POINT (16.357687952202323 48.17835376196362),Matzleinsdorfer Platz (Triester Straße),Matzleinsdorfer Platz (Triester Straße),"096,209,303,309,311,6011,7940,B01,B23,B24,B25",,3,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930777,13930777,POINT (16.359453212488162 48.18092346947014),Matzleinsdorfer Platz (Gürtel/Tiefgeschoß),Matzleinsdorfer Platz (Gürtel/Tiefgeschoß),"1,18,62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930778,13930778,POINT (16.35859981280315 48.1805341699777),Matzleinsdorfer Platz (Gürtel/Tiefgeschoß),Matzleinsdorfer Platz (Gürtel/Tiefgeschoß),"18,6,62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930779,13930779,POINT (16.274751113022052 48.154507669843156),Maurer Friedhof,Maurer Friedhof,56A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Friedhof&start=1,
OEFFHALTESTOGD.13930780,13930780,POINT (16.27570331258459 48.154453769397996),Maurer Friedhof,Maurer Friedhof,56A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Friedhof&start=1,
OEFFHALTESTOGD.13930781,13930781,POINT (16.26917251233194 48.15115156958908),Maurer Hauptplatz,Maurer Hauptplatz,60,,1,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Hauptplatz&start=1,
OEFFHALTESTOGD.13930782,13930782,POINT (16.26864251193002 48.149904970095264),Maurer Hauptplatz,Maurer Hauptplatz,60,,1,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Hauptplatz&start=1,
OEFFHALTESTOGD.13930783,13930783,POINT (16.26827421260631 48.1475794697755),Maurer Lange Gasse,Maurer Lange Gasse,60,,1,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Lange%20Gasse&start=1,
OEFFHALTESTOGD.13930784,13930784,POINT (16.268148411684756 48.14732176929726),Maurer Lange Gasse,Maurer Lange Gasse,60,,1,https://anachb.vor.at?P=SQ&input=Wien%20Maurer%20Lange%20Gasse&start=1,
OEFFHALTESTOGD.13930785,13930785,POINT (16.389726413219126 48.150756069853266),Max-Fleischer-Gasse,Max-Fleischer-Gasse,19A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Max-Fleischer-Gasse&start=1,
OEFFHALTESTOGD.13930786,13930786,POINT (16.40942651299745 48.16307676950604),Max-Mauermann-Gasse,Max-Mauermann-Gasse,15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Max-Mauermann-Gasse&start=1,
OEFFHALTESTOGD.13930787,13930787,POINT (16.409291712265226 48.1631367695846),Max-Mauermann-Gasse,Max-Mauermann-Gasse,15A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Max-Mauermann-Gasse&start=1,
OEFFHALTESTOGD.13930788,13930788,POINT (16.36687331202758 48.19260226964696),Mayerhofgasse,Mayerhofgasse,"1,62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Mayerhofgasse&start=1,
OEFFHALTESTOGD.13930789,13930789,POINT (16.36702601221142 48.192662169586946),Mayerhofgasse,Mayerhofgasse,"1,62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Mayerhofgasse&start=1,
OEFFHALTESTOGD.13930790,13930790,POINT (16.38152034281098 48.294017554008676),Mayerweckstraße,Mayerweckstraße,"32A,510,850",,3,https://anachb.vor.at?P=SQ&input=Wien%20Mayerweckstraße&start=1,
OEFFHALTESTOGD.13930791,13930791,POINT (16.381479911925947 48.29401756995915),Mayerweckstraße,Mayerweckstraße,"32A,510,850",,2,https://anachb.vor.at?P=SQ&input=Wien%20Mayerweckstraße&start=1,
